length,protocol,src_port,dst_port,flags,label
69,0,443,51372,0,0
1292,0,443,62508,0,0
322,0,443,62508,0,0
990,0,443,62508,0,0
67,0,443,62508,0,0
120,0,62508,443,0,0
73,0,62508,443,0,0
1288,0,62508,443,0,0
1292,0,62508,443,0,0
1250,0,62508,443,0,0
84,0,62508,443,0,0
287,0,62508,443,0,0
1288,0,62508,443,0,0
1292,0,62508,443,0,0
592,0,62508,443,0,0
74,0,51372,443,0,0
162,0,443,62508,0,0
67,0,443,62508,0,0
67,0,443,62508,0,0
67,0,443,62508,0,0
71,0,443,62508,0,0
71,0,443,62508,0,0
74,0,62508,443,0,0
713,0,443,51372,0,0
185,0,443,51372,0,0
77,0,51372,443,0,0
68,0,443,62508,0,0
74,0,62508,443,0,0
66,0,443,51372,0,0
1288,0,443,62508,0,0
639,0,443,62508,0,0
77,0,62508,443,0,0
66,0,443,62508,0,0
892,0,51372,443,0,0
1292,0,63081,443,0,0
1292,0,63081,443,0,0
1292,0,57432,443,0,0
1292,0,57432,443,0,0
124,0,57432,443,0,0
70,0,443,51372,0,0
82,0,443,63081,0,0
1292,0,443,63081,0,0
484,0,443,51372,0,0
63,0,443,51372,0,0
1292,0,53538,443,0,0
78,0,51372,443,0,0
1292,0,53538,443,0,0
1292,0,53538,443,0,0
1288,0,62508,443,0,0
1292,0,62508,443,0,0
1292,0,62508,443,0,0
673,0,62508,443,0,0
120,0,53538,443,0,0
706,0,443,62508,0,0
167,0,443,62508,0,0
1288,0,62508,443,0,0
1292,0,62508,443,0,0
395,0,62508,443,0,0
77,0,62508,443,0,0
1292,0,443,63081,0,0
209,0,63081,443,0,0
1099,0,63081,443,0,0
82,0,443,57432,0,0
1292,0,443,57432,0,0
927,0,63081,443,0,0
1160,0,63081,443,0,0
1150,0,63081,443,0,0
1172,0,63081,443,0,0
1162,0,63081,443,0,0
74,0,51372,443,0,0
82,0,443,53538,0,0
1292,0,443,57432,0,0
332,0,443,57432,0,0
984,0,443,57432,0,0
67,0,443,57432,0,0
120,0,57432,443,0,0
73,0,57432,443,0,0
1288,0,57432,443,0,0
1292,0,57432,443,0,0
1011,0,57432,443,0,0
122,0,57432,443,0,0
914,0,57432,443,0,0
82,0,443,53538,0,0
1292,0,443,53538,0,0
1292,0,443,53538,0,0
691,0,62508,443,0,0
69,0,443,62508,0,0
65,0,443,62508,0,0
626,0,443,63081,0,0
163,0,443,63081,0,0
74,0,63081,443,0,0
69,0,443,62508,0,0
69,0,443,63081,0,0
65,0,443,62508,0,0
70,0,443,63081,0,0
73,0,62508,443,0,0
73,0,63081,443,0,0
70,0,443,63081,0,0
1029,0,443,63081,0,0
1128,0,443,63081,0,0
1118,0,443,63081,0,0
896,0,443,63081,0,0
78,0,63081,443,0,0
66,0,443,51372,0,0
78,0,63081,443,0,0
1292,0,443,63081,0,0
1008,0,443,63081,0,0
79,0,63081,443,0,0
63,0,443,51372,0,0
75,0,51372,443,0,0
1292,0,443,53538,0,0
325,0,443,53538,0,0
996,0,443,53538,0,0
67,0,443,53538,0,0
120,0,53538,443,0,0
73,0,53538,443,0,0
1288,0,53538,443,0,0
1292,0,53538,443,0,0
1141,0,53538,443,0,0
121,0,53538,443,0,0
162,0,443,57432,0,0
67,0,443,57432,0,0
67,0,443,57432,0,0
67,0,443,57432,0,0
72,0,443,57432,0,0
74,0,57432,443,0,0
1292,0,443,62508,0,0
976,0,443,62508,0,0
63,0,443,62508,0,0
77,0,62508,443,0,0
74,0,63081,443,0,0
65,0,443,63081,0,0
162,0,443,53538,0,0
67,0,443,53538,0,0
67,0,443,53538,0,0
67,0,443,53538,0,0
269,0,443,62508,0,0
77,0,62508,443,0,0
63,0,443,62508,0,0
66,0,443,63081,0,0
1008,0,443,63081,0,0
75,0,63081,443,0,0
72,0,443,53538,0,0
73,0,53538,443,0,0
813,0,443,57432,0,0
74,0,62508,443,0,0
1292,0,443,57432,0,0
681,0,443,57432,0,0
130,0,443,57432,0,0
64,0,443,57432,0,0
63,0,443,57432,0,0
